											
Stock Diario Teclados N°2											
											
BARRA											
Producto	Unidades	Porciones	Stock requerido	Inicio		Reposición		Inicio Turno		Final Turno	
    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                               1                       1   
130                                               0                       0   
131                                               2                       2   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°2 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:    05/01/2024                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido     Inicio   
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1              
130            VIRUTILLA FINA        UNI                2              
131          VIRUTILLA GRUESA        UNI                2              
132                                                                    
133            cheddar lamina                                          

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                               0                       0   
130                                               0                       0   
131                                               0                       2   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-02 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          0                                     
129                1          0                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-03 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          0                                     
128                1          0                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-04 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-05 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          4                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-06 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   3/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   3/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          1   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   4/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          0   
128               TOALLA NOVA  1 ROLLO GRANDE                1        0.5   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   5/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   6/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          1   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          1   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          0   
137  BOLSAS DE BASURA CAGRA PESADA                          10          0   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          1   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          0   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          0   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0         10   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1       0.25   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          5   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:     30/12 /23                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128                                                                       1   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     03/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128                                                                       1   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128         0.6  
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     04/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128        0.6                                                            1   
129                                                                       0   
130                                                                       0   
131                                                                       1   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     05/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       5   
128                                                                     0.8   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     06/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          5   
128               TOALLA NOVA  1 ROLLO GRANDE                1        0.8   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       5   
128                                                                     0.2   
129                                                                       0   
130                                                                       0   
131                                                                       1   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]

I want the structure of the data output to be json format for each sheet, but I don't know how to do it but just print it in the console. I would like to know how to do it, I have tried several ways but I have not been able to do it. I would appreciate your help. Thank you very much in advance.
```
```
import pandas as pd
import json
import numpy as np
import os
import glob

os.chdir(os.getcwd())

extension = 'xlsx'
all_filenames = [i for i in glob.glob('*.{}'.format(extension))]
print(all_filenames)

for f in all_filenames:
    df = pd.read_excel(f, sheet_name=None)
    for sheet_name, df in df.items():
        print(sheet_name)
        print(df)
        df.to_json('{}.json'.format(sheet_name), orient='records')


I need to extract this type of outpu
```
```
[
    {
        "local": "tecldos 1",
        "Fecha": "02/01/2024",
        {
            "Productos-de": "COCINA",
            {
                "Producto": "POLLO",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "PAPAS FRITAS",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "HUEVOS",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "CEBOLLA",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "PAN",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "LECHUGA",
                "Stock requerido": "0",
